client_id,datetime,code,type,amount,target
4879397,67 15:55:02,4814,1030,-6737.75,1
75211941,203 11:48:49,6010,7071,636492.53,1
31236013,334 18:21:06,5411,1010,-2133.62,1
24497218,147 10:02:14,4814,1030,-44918.32,0
27636980,197 09:31:23,6011,2010,-11229.58,1
19309943,348 13:04:19,6011,2011,-8983.66,1
20336527,366 00:00:00,5411,1110,-3997.51,1
86695282,168 17:42:29,6011,2010,-5614.79,0
78214402,202 20:37:23,5411,1110,-143334.34,1
91924772,237 14:48:44,4814,1030,-4491.83,1
57309825,52 13:26:48,4814,1030,-6121.24,1
52531468,82 20:26:34,6011,2010,-17967.33,0
29894123,208 22:56:60,6010,7071,58371.35,1
45339969,332 18:41:34,5411,1010,-16244.71,0
31433889,113 00:00:00,7311,1100,-2245.92,1
92627852,231 18:10:20,6010,7030,8983.66,0
53708094,181 18:27:38,6011,2010,-33688.74,1
97068969,209 15:49:41,4814,1030,-2245.92,0
68511053,410 13:52:18,5411,1010,-5590.08,1
70780820,217 17:18:09,6010,7070,7299.23,0
18904103,378 12:08:43,5812,1010,-3930.35,1
54518053,441 14:38:29,6011,2010,-33688.74,0
26863470,28 16:49:45,6011,2010,-4491.83,1
3854679,139 17:20:52,6011,2010,-224591.58,0
31097536,427 12:09:48,6011,2010,-110049.87,0
46862332,269 16:33:26,6010,7070,11229.58,1
13833761,284 14:31:42,5411,1110,-1392.47,0
60293458,389 00:00:00,5812,1110,-14912.88,1
64368728,231 03:58:53,4814,1030,-224.59,0
63159770,419 07:48:53,4829,2370,-22459.16,0
28818415,189 18:49:17,4829,4071,-2245.92,0
36187758,193 01:14:41,6011,2010,-2245.92,0
73410167,150 12:51:50,6011,7010,112295.79,1
95032259,201 13:57:05,5411,1010,-9365.47,1
29041434,323 06:45:49,6010,7070,7905.62,0
95602389,9 13:54:51,5331,1010,-60639.73,0
35845743,72 22:00:39,4812,1010,-7124.04,0
99431667,334 12:14:06,4829,2330,-33688.74,1
84425967,285 19:07:15,5499,1010,-12914.02,0
4895767,209 17:32:46,5499,1010,-3878.7,0
84712006,409 01:02:19,6010,7070,5727.09,1
87084168,26 16:30:02,6010,7070,2560.34,1
17662250,139 20:06:06,6011,2010,-673774.73,1
39270809,120 17:05:29,6011,2011,-471642.31,1
42468580,436 17:31:16,5411,1010,-5917.99,0
14837954,350 13:51:44,6011,2010,-217853.83,1
58440474,248 16:11:28,6011,2010,-22459.16,0
9819899,144 00:00:00,7995,1200,-6737.75,0
90345699,105 12:28:34,4829,2330,-11229.58,1
89185088,394 12:11:21,5411,1110,-3952.81,1
48198100,24 21:17:22,5411,1110,-4263.87,1
42024119,12 08:50:54,5641,1010,-14441.24,0
70780820,286 12:55:14,6010,7070,14216.65,0
55392310,146 16:27:04,6011,2010,-6737.75,0
92659530,349 19:16:16,5411,1110,-2548.44,0
52575122,449 00:00:00,6011,2110,-2245.92,1
18889791,138 13:49:47,6010,7070,5480.03,0
31866630,230 16:35:13,5411,1110,-1302.63,1
67628722,210 13:47:35,4829,2370,-4491.83,0
4512522,58 00:00:00,5411,1110,-39245.58,0
39816059,386 10:28:52,6011,2011,-22459.16,0
11661930,346 16:48:45,4829,2370,-67377.47,1
92204515,294 08:40:51,5411,1010,-1277.93,0
3854679,363 13:04:26,5411,1010,-4042.65,0
33226253,264 18:11:56,6011,7010,6737.75,0
70780820,195 10:44:44,6010,7070,13587.79,1
38640666,208 06:34:30,6011,2010,-22459.16,0
67327004,147 10:40:48,4814,1030,-22.46,1
81479825,91 18:58:58,4814,1030,-6737.75,0
49111108,256 17:29:41,6011,2010,-20213.24,0
92316134,216 19:17:12,4814,1030,-3368.87,1
38051836,379 13:36:58,6011,2010,-11229.58,1
38691781,308 16:06:03,6010,7070,460.41,1
91942377,145 10:58:14,6011,2010,-6737.75,1
40142061,170 14:48:02,5661,1010,-64457.78,1
24711698,6 19:41:50,5411,1010,-10174.0,0
94183560,333 14:56:48,4814,1030,-224.59,0
53456653,406 15:00:05,6011,2010,-2245.92,0
30739309,61 09:22:43,6011,2010,-22459.16,0
56917927,375 11:48:34,4814,1030,-2245.92,1
28336212,413 00:00:00,5814,1110,-6108.89,0
15474511,205 13:02:40,6011,2010,-13475.49,1
1461541,368 06:39:32,5541,1110,-19095.9,1
11139526,325 15:30:08,6011,7010,112295.79,0
47264465,361 19:39:14,6010,7070,101066.21,1
11701078,238 11:39:20,6010,7070,22.46,0
65309740,215 12:23:46,6010,7031,26950.99,1
79057931,138 04:24:08,4814,1030,-1122.96,0
95751931,356 14:57:44,5814,1110,-5053.31,0
70192661,118 00:00:00,5411,1110,-3200.43,0
8014460,252 18:22:52,6010,7070,14934.22,1
68937660,286 22:41:31,4814,1030,-4491.83,1
52575122,327 22:04:20,6011,2010,-4491.83,0
69705338,137 00:00:00,5999,1110,-71644.71,1
87084168,104 16:01:10,6010,7070,5188.07,0
70780820,199 03:39:57,6010,7070,6445.78,0
65026370,89 06:07:52,4814,1030,-224.59,1
67446321,269 16:41:07,4829,2330,-16844.37,0
59709592,418 16:12:08,5411,1200,-6665.65,0
86819230,277 14:54:29,5499,1010,-1055.58,0
66498262,339 08:34:30,4814,1030,-2245.92,0
16751713,95 18:21:29,5411,1110,-60820.3,1
1521146,122 00:00:00,5541,1110,-15137.47,1
22931716,210 17:45:19,6011,2010,-22459.16,1
96280753,379 09:55:23,5499,1010,-4624.79,0
79482155,379 17:42:17,5411,1010,-4716.42,0
25270793,38 16:48:34,6010,7070,43319.22,1
15515571,432 12:30:26,5331,1010,-1549.68,0
16198741,448 18:37:23,5331,1010,-203929.15,0
9978856,340 06:56:53,4814,1030,-11229.58,0
70938867,217 10:10:20,5499,1010,-1210.32,0
3743929,103 15:03:18,5912,1010,-1572.14,1
34200809,104 00:00:00,5814,1110,-4267.24,0
65981094,306 14:48:01,6011,2010,-110049.87,0
98960635,213 00:00:00,5331,1110,-1078.04,1
9044015,395 21:54:06,6010,7070,50578.02,1
85861930,330 16:59:26,6010,7070,6647.91,0
64980975,409 06:15:42,6011,2010,-11229.58,0
84576470,356 13:01:28,4829,2370,-11319.42,1
49836853,416 19:20:28,5651,1110,-53569.58,0
82173531,317 09:13:01,5211,6010,22301.94,0
77258785,9 00:00:00,5411,1110,-10284.05,1
17396832,332 17:20:04,5411,1110,-10084.16,1
99388499,305 00:00:00,4121,1100,-4491.83,0
2354592,93 22:30:59,6011,2010,-112295.79,1
73197097,329 17:33:13,4814,1030,-1122.96,0
96274348,157 13:11:23,6051,1100,-67660.23,1
70690635,128 01:04:15,6010,7030,112295.79,0
4584304,19 08:25:54,5331,1010,-5356.51,0
90610152,393 01:03:44,4814,1030,-1122.96,0
74800099,105 15:01:01,6010,7070,134754.95,1
36734580,228 01:05:39,6011,2010,-22459.16,1
73287480,181 21:31:27,5411,1010,-13632.71,1
95312022,48 00:00:00,5699,1110,-2717.56,0
49603445,235 20:56:57,4900,1100,-60869.93,1
79751608,320 11:04:30,5912,1010,-14095.82,1
67267524,52 10:11:10,6011,2010,-44918.32,0
66580583,301 10:39:31,5411,1010,-1212.79,1
29894123,334 11:45:30,6010,7070,15362.06,0
27213328,156 17:47:00,5912,1010,-7328.42,0
14076810,109 00:00:00,5812,1110,-36451.21,1
20387931,119 13:59:26,6011,2010,-56147.89,1
84534351,48 21:52:01,4814,1030,-1122.96,1
50079853,265 09:00:18,6011,2010,-22459.16,1
17774807,105 23:51:47,4814,1030,-2245.92,0
73300172,269 11:23:57,6010,7070,22459.16,0
70780820,327 04:46:04,6010,7071,3705.76,0
51611278,398 11:33:60,4829,2330,-4491.83,1
82777964,261 13:57:49,5331,1010,-6737.75,1
5360260,36 18:00:46,5311,1010,-1490.84,0
94803765,117 10:45:48,6011,2010,-16844.37,0
80954841,92 00:10:49,4814,1030,-1122.96,0
69742166,366 07:00:51,6011,2010,-22459.16,1
4165598,106 00:00:00,5814,1110,-3593.47,1
78336819,206 15:44:52,5411,1010,-22593.91,1
96297127,194 19:52:05,5499,1010,-2897.23,1
36599781,307 20:57:22,5411,1010,-1947.21,0
48434170,87 18:34:28,6011,2010,-89836.63,0
31810428,335 15:46:31,6011,4011,-168.44,0
62605812,268 12:15:29,5814,1010,-4941.01,1
89989620,242 00:00:00,5735,1200,-26726.4,0
13025490,448 19:37:28,5499,1010,-4604.13,0
48971428,446 11:21:56,6011,2010,-15721.41,0
44857168,381 11:20:05,6010,7070,11678.76,0
99220694,200 20:38:56,4814,1030,-1122.96,1
63826837,282 20:47:44,5411,1010,-42896.99,1
9659665,292 19:08:24,6010,7031,224591.58,0
98301999,210 13:29:39,6011,2010,-11229.58,1
78771111,441 19:52:35,6536,1100,-5614.79,0
58866054,108 19:35:08,5411,1110,-2223.46,0
81479064,101 18:13:50,6010,7070,242558.9,0
81021159,360 00:00:00,5661,1110,-6019.05,0
67365860,338 18:50:14,6010,7030,6737.75,0
19805868,363 14:41:21,4829,4071,-223.69,0
59284472,1 12:58:23,5812,1110,-336.89,0
30283845,426 10:16:04,4814,1030,-1122.96,0
47403260,381 13:06:34,6011,2010,-280739.47,0
60004384,95 11:59:51,5912,1010,-898.37,0
73016129,305 10:56:13,6010,7070,22459.16,0
48709595,276 20:50:58,5411,1010,-34384.97,0
20958532,322 23:10:26,5411,1010,-3523.84,0
64694340,361 02:59:20,4814,1030,-1122.96,1
10110730,171 00:00:00,5411,1110,-10929.52,0
64152962,362 00:00:00,5411,1110,-1819.19,0
29175248,454 00:00:00,5912,1110,-1084.78,0
76510478,319 08:42:20,4829,4071,-215.61,1
74619328,20 09:02:23,5411,1010,-6400.86,1
5591410,217 18:46:14,6011,2010,-224591.58,1
16542862,332 18:19:01,5411,1010,-3701.72,1
27005693,312 18:45:31,5411,1010,-1527.22,0
19006787,453 13:40:17,5499,1010,-8267.22,0
57295414,448 15:19:41,5411,1110,-20918.01,0
74519316,217 08:15:27,6011,2010,-336887.37,0
74760028,300 17:57:58,6011,2010,-4491.83,1
73238226,143 20:27:06,5411,1010,-5502.49,0
56086567,315 18:58:35,4814,1030,-4491.83,0
66653810,402 18:06:48,6011,2010,-22459.16,0
85695839,272 15:24:15,6011,7010,33688.74,0
50907611,323 09:54:27,6010,7021,449183.15,0
21590602,393 00:00:00,5813,1110,-2245.92,0
52043244,99 00:00:00,5411,1110,-12276.18,1
35549929,80 00:00:00,5812,1110,-2223.46,0
53551644,189 11:34:19,5411,1010,-2277.81,1
28818415,410 20:03:03,4829,4071,-1122.96,1
5373287,417 08:09:45,6011,2010,-87590.72,0
70227980,367 16:55:16,5499,1010,-14306.48,1
70909336,40 18:49:60,6011,2010,-51656.06,1
62106307,298 14:33:58,4814,1030,-3368.87,0
86053380,336 11:25:42,5699,1010,-6535.61,0
89761230,420 14:50:23,4814,1030,-13475.49,0
65639862,219 20:48:40,6011,2010,-33688.74,0
54326193,128 19:20:02,4814,1030,-1122.96,0
70475688,247 15:38:03,6010,7070,67377.47,0
87979996,211 08:49:47,4900,1100,-1657.49,0
84712006,73 15:20:40,6010,7070,5839.38,1
85967320,397 10:20:32,4814,1030,-2245.92,1
60348703,188 13:59:30,4829,2370,-17473.22,1
87372275,137 17:38:32,6010,7071,17967.33,0
15982939,225 13:19:50,6011,2010,-22459.16,0
81522114,442 17:06:30,5411,1010,-24956.17,0
96557810,123 10:41:43,4829,2370,-673.77,1
82356324,285 15:56:38,6011,2010,-6737.75,1
55756474,216 16:03:56,6011,2010,-44918.32,1
64960269,230 15:20:38,6011,2010,-62885.64,0
27270006,69 18:11:06,6010,7070,6737.75,0
6180127,136 00:00:00,5411,1110,-855.69,1
81021159,190 18:29:03,5411,1010,-20419.87,1
84803089,384 12:07:16,5499,1010,-9336.27,0
20976392,65 21:31:00,4814,1030,-2245.92,0
4906390,245 14:49:28,6011,2010,-44918.32,0
73580723,308 00:00:00,5411,1110,-12880.33,1
54888680,302 15:46:08,4829,4071,-15721.41,0
89262096,38 19:39:08,4814,1030,-6737.75,0
94322959,237 09:37:58,6011,2011,-20213.24,1
3323243,0 10:32:40,6011,2010,-11229.58,0
64701057,349 23:35:46,5812,1110,-51094.58,0
42473263,399 14:49:37,6011,2010,-67377.47,0
18753299,391 00:00:00,5814,1110,-7995.46,1
20646461,364 00:00:00,5541,1110,-44918.32,1
60293458,408 16:44:17,5411,1010,-2358.21,1
78570232,206 02:41:42,5411,1010,-29225.65,1
5009599,453 09:08:07,6010,7070,26950.99,0
59267013,333 20:42:49,5411,1010,-25244.09,1
94046100,302 19:20:45,5813,1010,-11004.99,1
58878219,83 17:02:18,5912,1010,-13411.94,1
1256938,405 14:46:11,6011,2010,-22459.16,0
71471760,219 12:52:39,6011,2010,-26950.99,0
65624593,90 17:14:44,5912,1010,-4738.88,0
70780820,168 12:17:27,6010,7070,6131.35,0
17899884,270 00:00:00,5541,1110,9035.32,0
70780820,204 04:43:09,6010,7070,4357.08,0
50175595,440 17:21:20,5411,1010,-2703.41,0
37849382,174 00:00:00,5541,1110,-22459.16,0
5009599,450 19:03:30,4814,1030,-4491.83,0
80670685,335 09:49:55,4814,1030,-2245.92,1
4015488,110 09:08:32,6011,2010,-67377.47,1
45729557,305 00:00:00,5411,1110,-6614.22,1
69847265,341 09:50:59,6010,7031,44918.32,1
14154056,370 16:26:53,5411,1010,-1471.07,1
24666275,298 10:12:29,6011,2010,-22459.16,0
53882112,377 19:59:37,6011,2010,-314428.21,1
93462786,112 20:34:22,4814,1030,-1122.96,0
88199460,85 20:44:14,4829,2370,-6737.75,0
42473263,350 18:49:05,6010,7030,852100.44,1
53882112,55 00:00:00,5499,1110,-3795.6,0
186730,291 15:50:30,6010,7030,62885.64,0
11701078,449 14:54:19,6010,7030,1608.52,0
67453486,432 15:14:36,5499,1010,-4132.49,1
22882838,285 00:00:00,5411,1110,-3275.67,1
56179132,208 13:59:50,4814,1030,-1122.96,1
5648805,213 10:57:08,5411,1010,-5125.18,1
27270006,292 18:22:56,6011,2010,-22459.16,1
49913122,81 22:47:10,6010,7070,22459.16,1
2400211,285 00:13:59,4814,1030,-5614.79,1
8816632,452 15:16:07,5411,1010,-10544.57,0
70780820,285 13:08:22,6010,7070,4020.19,1
46084699,21 06:25:15,6010,7030,157214.1,0
26414141,59 06:54:55,4814,1030,-2245.92,0
54186907,266 12:58:38,4814,1030,-2245.92,0
24054274,231 11:36:25,5411,1010,-5368.19,1
40538394,235 16:09:35,5411,1010,-17720.28,1
55115986,288 09:46:19,6011,7010,112295.79,0
79434044,44 16:41:26,5411,1010,-7793.33,0
57126993,9 16:20:55,5411,1010,-4669.26,0
69934694,406 09:28:51,4829,2370,-112295.79,0
83217980,91 13:11:42,4829,2331,-665914.03,1
75278479,444 19:48:25,6011,2010,-471642.31,1
4033578,307 08:17:56,5912,1010,-22167.19,0
73263344,373 11:28:51,6011,2011,-11229.58,1
62715587,101 22:21:39,5211,1010,-154069.82,0
92084712,434 12:46:09,5411,1010,-3593.47,0
50988636,307 00:00:00,6051,1100,-13879.76,1
15836839,25 06:44:05,4814,1030,-2245.92,0
91073908,226 00:00:00,5699,1110,-188589.55,0
7675526,321 09:12:04,6010,7071,67377.47,0
78093242,122 13:32:22,6011,2010,-24705.07,1
65985063,202 00:00:00,5964,1200,-22244.45,0
36576755,447 12:29:47,6010,7030,3368873.66,1
70780820,120 15:41:33,6010,7070,4963.47,0
5990895,120 15:20:57,5641,1110,-61199.18,0
70780820,189 03:40:51,6010,7070,11925.81,1
45484912,234 08:26:09,4829,2370,-2695.1,1
77171868,194 08:39:03,4829,2340,-112295.79,0
79057931,413 16:41:38,6011,2010,-4491831.54,1
95384828,190 20:12:17,5912,1010,-3344.17,0
85861930,412 17:37:46,4829,2370,-5480.03,0
55336329,328 21:13:15,5411,1010,-14081.89,1
8833326,310 11:17:19,4829,2370,-224591.58,1
70780820,247 02:41:25,6010,7070,2156.08,0
70780820,142 04:20:23,6010,7070,32678.07,0
89937916,264 11:39:45,6011,2010,-44918.32,1
5587263,261 00:00:00,5712,1110,-36428.75,0
86638945,230 00:00:00,5411,1110,-16920.5,1
36389053,106 20:12:60,4814,1030,-1122.96,1
63881871,386 21:00:18,4814,1030,-2245.92,0
67881606,81 14:32:42,5411,1110,-8058.35,1
78729471,42 17:11:07,5411,1010,-5255.44,0
67365860,339 17:35:60,5331,1010,-1639.52,1
70734869,27 19:47:36,6011,7010,22459.16,1
53355085,315 00:00:00,5411,1110,-9468.78,0
8613826,416 04:46:10,4814,1030,-20213.24,1
56049007,276 06:30:17,5411,1010,-7515.96,0
54186907,358 09:45:11,6010,7070,17619.21,0
53120025,341 18:06:44,5411,1010,-1437.39,0
